D&C 1,39
D&C 2,3
D&C 3,20
D&C 4,7
D&C 5,35
D&C 6,37
D&C 7,8
D&C 8,12
D&C 9,14
D&C 10,70
D&C 11,30
D&C 12,9
D&C 13,1
D&C 14,11
D&C 15,6
D&C 16,6
D&C 17,9
D&C 18,47
D&C 19,41
D&C 20,84
D&C 21,12
D&C 22,4
D&C 23,7
D&C 24,19
D&C 25,16
D&C 26,2
D&C 27,18
D&C 28,16
D&C 29,50
D&C 30,11
D&C 31,13
D&C 32,5
D&C 33,18
D&C 34,12
D&C 35,27
D&C 36,8
D&C 37,4
D&C 38,42
D&C 39,24
D&C 40,3
D&C 41,12
D&C 42,93
D&C 43,35
D&C 44,6
D&C 45,75
D&C 46,33
D&C 47,4
D&C 48,6
D&C 49,28
D&C 50,46
D&C 51,20
D&C 52,44
D&C 53,7
D&C 54,10
D&C 55,6
D&C 56,20
D&C 57,16
D&C 58,65
D&C 59,24
D&C 60,17
D&C 61,39
D&C 62,9
D&C 63,66
D&C 64,43
D&C 65,6
D&C 66,13
D&C 67,14
D&C 68,35
D&C 69,8
D&C 70,18
D&C 71,11
D&C 72,26
D&C 73,6
D&C 74,7
D&C 75,36
D&C 76,119
D&C 77,15
D&C 78,22
D&C 79,4
D&C 80,5
D&C 81,7
D&C 82,24
D&C 83,6
D&C 84,120
D&C 85,12
D&C 86,11
D&C 87,8
D&C 88,141
D&C 89,21
D&C 90,37
D&C 91,6
D&C 92,2
D&C 93,53
D&C 94,17
D&C 95,17
D&C 96,9
D&C 97,28
D&C 98,48
D&C 99,8
D&C 100,17
D&C 101,101
D&C 102,35
D&C 103,40
D&C 104,86
D&C 105,41
D&C 106,8
D&C 107,100
D&C 108,8
D&C 109,80
D&C 110,16
D&C 111,11
D&C 112,34
D&C 113,10
D&C 114,2
D&C 115,19
D&C 116,1
D&C 117,16
D&C 118,6
D&C 119,7
D&C 120,1
D&C 121,46
D&C 122,9
D&C 123,17
D&C 124,145
D&C 125,4
D&C 126,3
D&C 127,13
D&C 128,26
D&C 129,9
D&C 130,23
D&C 131,8
D&C 132,66
D&C 133,74
D&C 134,12
D&C 135,7
D&C 136,42
D&C 137,10
D&C 138,60
D&C Official Declarations 1,19
D&C Official Declarations 2,11
1 Nephi 1,20
1 Nephi 2,24
1 Nephi 3,31
1 Nephi 4,38
1 Nephi 5,22
1 Nephi 6,6
1 Nephi 7,22
1 Nephi 8,38
1 Nephi 9,6
1 Nephi 10,22
1 Nephi 11,36
1 Nephi 12,23
1 Nephi 13,42
1 Nephi 14,30
1 Nephi 15,36
1 Nephi 16,39
1 Nephi 17,55
1 Nephi 18,25
1 Nephi 19,24
1 Nephi 20,22
1 Nephi 21,26
1 Nephi 22,31
2 Nephi 1,32
2 Nephi 2,30
2 Nephi 3,25
2 Nephi 4,35
2 Nephi 5,34
2 Nephi 6,18
2 Nephi 7,11
2 Nephi 8,25
2 Nephi 9,54
2 Nephi 10,25
2 Nephi 11,8
2 Nephi 12,22
2 Nephi 13,26
2 Nephi 14,6
2 Nephi 15,30
2 Nephi 16,13
2 Nephi 17,25
2 Nephi 18,22
2 Nephi 19,21
2 Nephi 20,34
2 Nephi 21,16
2 Nephi 22,6
2 Nephi 23,22
2 Nephi 24,32
2 Nephi 25,30
2 Nephi 26,33
2 Nephi 27,35
2 Nephi 28,32
2 Nephi 29,14
2 Nephi 30,18
2 Nephi 31,21
2 Nephi 32,9
2 Nephi 33,15
Jacob 1,19
Jacob 2,35
Jacob 3,14
Jacob 4,18
Jacob 5,77
Jacob 6,13
Jacob 7,27
Enos 1,27
Jarom 1,15
Omni 1,30
Words of Mormon 1,18
Mosiah 1,18
Mosiah 2,41
Mosiah 3,27
Mosiah 4,30
Mosiah 5,15
Mosiah 6,7
Mosiah 7,33
Mosiah 8,21
Mosiah 9,19
Mosiah 10,22
Mosiah 11,29
Mosiah 12,37
Mosiah 13,35
Mosiah 14,12
Mosiah 15,31
Mosiah 16,15
Mosiah 17,20
Mosiah 18,35
Mosiah 19,29
Mosiah 20,26
Mosiah 21,36
Mosiah 22,16
Mosiah 23,39
Mosiah 24,25
Mosiah 25,24
Mosiah 26,39
Mosiah 27,37
Mosiah 28,20
Mosiah 29,47
Alma 1,33
Alma 2,38
Alma 3,27
Alma 4,20
Alma 5,62
Alma 6,8
Alma 7,27
Alma 8,32
Alma 9,34
Alma 10,32
Alma 11,46
Alma 12,37
Alma 13,31
Alma 14,29
Alma 15,19
Alma 16,21
Alma 17,39
Alma 18,43
Alma 19,36
Alma 20,30
Alma 21,23
Alma 22,35
Alma 23,18
Alma 24,30
Alma 25,17
Alma 26,37
Alma 27,30
Alma 28,14
Alma 29,17
Alma 30,60
Alma 31,38
Alma 32,43
Alma 33,23
Alma 34,41
Alma 35,16
Alma 36,30
Alma 37,47
Alma 38,15
Alma 39,19
Alma 40,26
Alma 41,15
Alma 42,31
Alma 43,54
Alma 44,24
Alma 45,24
Alma 46,41
Alma 47,36
Alma 48,25
Alma 49,30
Alma 50,40
Alma 51,37
Alma 52,40
Alma 53,23
Alma 54,24
Alma 55,35
Alma 56,57
Alma 57,36
Alma 58,41
Alma 59,13
Alma 60,36
Alma 61,21
Alma 62,52
Alma 63,17
Helaman 1,34
Helaman 2,14
Helaman 3,37
Helaman 4,26
Helaman 5,52
Helaman 6,41
Helaman 7,29
Helaman 8,28
